,id,shortedPath,subgenres
0,ELECTRONIC1,/tracks/ELECTRONIC/Disclosure/Disclosure feat. London Grammar - Help Me Lose My Mind (lyrics) Music Video.mp3,3
1,ELECTRONIC2,/tracks/ELECTRONIC/Disclosure/Disclosure - You & Me (Flume Remix) [Official Video].mp3,2
2,ELECTRONIC3,/tracks/ELECTRONIC/Disclosure/Disclosure - Magnets ft. Lorde.mp3,1
3,ELECTRONIC4,/tracks/ELECTRONIC/Disclosure/Disclosure - Latch ft. Sam Smith.mp3,1
4,ELECTRONIC5,/tracks/ELECTRONIC/Chris_Cornell/Chris Cornell - Patience (Official Video).mp3,0
5,ELECTRONIC6,/tracks/ELECTRONIC/Chris_Cornell/Chris Cornell - Nearly Forgot My Broken Heart (Lyric Video).mp3,2
6,ELECTRONIC7,/tracks/ELECTRONIC/Chris_Cornell/Chris Cornell - Part Of Me ft. Timbaland.mp3,4
7,ELECTRONIC8,/tracks/ELECTRONIC/Steve_Aoki/Steve Aoki - Boneless (Audio).mp3,0
8,ELECTRONIC9,/tracks/ELECTRONIC/Steve_Aoki/Steve Aoki & Laidback Luke ft. Lil Jon - Turbulence.mp3,2
9,ELECTRONIC10,"/tracks/ELECTRONIC/Steve_Aoki/Dimitri Vegas & Like Mike, Steve Aoki vs Ummet Ozcan - Melody.mp3",0
10,ELECTRONIC11,/tracks/ELECTRONIC/The_Blaze/The Blaze - EYES (Live Performance filmed by Blogothèque).mp3,0
11,ELECTRONIC12,/tracks/ELECTRONIC/The_Blaze/The Blaze - Territory (HQ).mp3,4
12,ELECTRONIC13,/tracks/ELECTRONIC/The_Blaze/The Blaze - SHE (Audio).mp3,4
13,ELECTRONIC14,/tracks/ELECTRONIC/David_Guetta/Crank It Up (feat. Akon).mp3,2
14,ELECTRONIC15,/tracks/ELECTRONIC/David_Guetta/David Guetta - Without You ft. Usher (Lyric video).mp3,0
15,ELECTRONIC16,/tracks/ELECTRONIC/David_Guetta/David Guetta & Showtek - Bad ft.Vassy (Lyrics Video).mp3,2
16,ELECTRONIC17,/tracks/ELECTRONIC/David_Guetta/David Guetta Feat. Akon - Sexy Chick (Official Video).mp3,3
17,ELECTRONIC18,/tracks/ELECTRONIC/David_Guetta/David Guetta - Where Them Girls At (Audio).mp3,2
18,ELECTRONIC19,/tracks/ELECTRONIC/The_Weeknd/The Weeknd - In The Night (Official Audio).mp3,2
19,ELECTRONIC20,/tracks/ELECTRONIC/The_Weeknd/Gesaffelstein & The Weeknd - Lost in the Fire (Official Video).mp3,1
20,ELECTRONIC21,/tracks/ELECTRONIC/The_Weeknd/The Weeknd - After Hours (Audio).mp3,2
21,ELECTRONIC22,"/tracks/ELECTRONIC/Alesso/Hailee Steinfeld, Alesso - Let Me Go ft. Florida Georgia Line, WATT (Official Video).mp3",1
22,ELECTRONIC23,/tracks/ELECTRONIC/Alesso/Calvin Harris - Under Control (Audio).mp3,3
23,ELECTRONIC24,"/tracks/ELECTRONIC/Alesso/Alesso, Tove Lo - Heroes (Lyrics) we could be.mp3",2
24,ELECTRONIC25,/tracks/ELECTRONIC/Avicii/Avicii - Levels.mp3,4
25,ELECTRONIC26,/tracks/ELECTRONIC/Avicii/I could be the one [Nicktim] (lyrics) - Avicii ft. Nicky Romero.mp3,2
26,ELECTRONIC27,/tracks/ELECTRONIC/Avicii/Avicii - Lonely Together “Audio” ft. Rita Ora.mp3,0
27,ELECTRONIC28,"/tracks/ELECTRONIC/Meduza/MEDUZA, Becky Hill, Goodboys - Lose Control (Lyric Video).mp3",0
28,ELECTRONIC29,"/tracks/ELECTRONIC/Meduza/MEDUZA, James Carter - Bad Memories (Lyric Video) ft. Elley Duhé, FAST BOY.mp3",2
29,ELECTRONIC30,"/tracks/ELECTRONIC/Meduza/MEDUZA, Goodboys - Piece Of Your Heart (Visualizer).mp3",3
30,ELECTRONIC31,/tracks/ELECTRONIC/CamelPhat/CAMELPHAT & RHODES - Home.mp3,3
31,ELECTRONIC32,/tracks/ELECTRONIC/CamelPhat/Anyma & CamelPhat - The Sign.mp3,0
32,ELECTRONIC33,/tracks/ELECTRONIC/CamelPhat/Camelphat & Elderbrook ‘Cola’.mp3,2
33,ELECTRONIC34,/tracks/ELECTRONIC/Kygo/Kygo - Firestone ft. Conrad Sewell (Official Audio).mp3,4
34,ELECTRONIC35,/tracks/ELECTRONIC/Kygo/Kygo - Raging ft. Kodaline (Official Lyric Video).mp3,0
35,ELECTRONIC36,/tracks/ELECTRONIC/Kygo/Kygo - Stole The Show (Lyrics) feat. Parson James.mp3,2
36,ELECTRONIC37,/tracks/ELECTRONIC/Swedish_House_Mafia/Swedish House Mafia - One (Your Name) (Official Video).mp3,0
37,ELECTRONIC38,"/tracks/ELECTRONIC/Swedish_House_Mafia/Swedish House Mafia, Sting - Redlight.mp3",4
38,ELECTRONIC39,/tracks/ELECTRONIC/Swedish_House_Mafia/Swedish House Mafia ft. John Martin - Don't You Worry Child (Official Video).mp3,2
39,ELECTRONIC40,/tracks/ELECTRONIC/Julian_Casablancas/Daft Punk - Infinity Repeating (2013 Demo) (feat. Julian Casablancas+The Voidz).mp3,4
