,id,shortedPath,subgenres
0,POP1,/tracks/POP/Demi_Lovato/Cool for the Summer (Official Video) - Demi Lovato.mp3,1
1,POP2,/tracks/POP/Demi_Lovato/Solo - Clean Bandit.mp3,2
2,POP3,/tracks/POP/Demi_Lovato/Confident Official Video - Demi Lovato.mp3,0
3,POP4,/tracks/POP/Demi_Lovato/Heart Attack Official Video - Demi Lovato.mp3,2
4,POP5,/tracks/POP/Katy_Perry/Katy Perry - Last Friday Night (T.G.I.F) (Lyrics) - 7clouds Rock.mp3,2
5,POP6,/tracks/POP/Katy_Perry/Swish Swish - Katy Perry.mp3,2
6,POP7,/tracks/POP/Katy_Perry/California Gurls (Official Music Video) - Katy Perry.mp3,2
7,POP8,/tracks/POP/Katy_Perry/Firework (Official Music Video) - Katy Perry.mp3,2
8,POP9,/tracks/POP/Katy_Perry/Katy Perry - Dark Horse ft. Juicy J - KatyPerryVEVO.mp3,1
9,POP10,/tracks/POP/Katy_Perry/KATY PERRY - Hot N Cold _ Traducida al Español - loveyourself.mp3,2
10,POP11,/tracks/POP/Jim_James/Jim James - State Of The Art (A.E.I.O.U.).mp3,4
11,POP12,/tracks/POP/Jim_James/Jim James - Here In Spirit.mp3,0
12,POP13,/tracks/POP/Jim_James/Jim James - A New Life.mp3,1
13,POP14,/tracks/POP/Justin_Bieber/Justin Bieber - Company.mp3,0
14,POP15,/tracks/POP/Justin_Bieber/Justin Bieber - As Long As You Love Me ft. Big Sean (Official Audio).mp3,0
15,POP16,/tracks/POP/Justin_Bieber/Justin Bieber - Somebody To Love Remix ft. Usher (Official Music Video).mp3,1
16,POP17,/tracks/POP/Justin_Bieber/Justin Bieber - Sorry (Lyric Video).mp3,2
17,POP18,/tracks/POP/Justin_Bieber/Justin Bieber - Beauty And A Beat ft. Nicki Minaj (Official Audio).mp3,2
18,POP19,/tracks/POP/Justin_Bieber/Skrillex and Diplo - _Where Are Ü Now_ with Justin Bieber (Official Video).mp3,1
19,POP20,/tracks/POP/Justin_Bieber/DJ Snake ft. Justin Bieber - Let Me Love You [Lyric Video].mp3,0
20,POP21,/tracks/POP/Justin_Bieber/Major Lazer - Cold Water (feat. Justin Bieber & MØ) (Official Lyric Video).mp3,2
21,POP22,/tracks/POP/Coldplay/Coldplay - Hymn For The Weekend (Official Video).mp3,1
22,POP23,/tracks/POP/Coldplay/Coldplay - A Sky Full Of Stars (Official Video).mp3,0
23,POP24,/tracks/POP/Coldplay/Clocks.mp3,1
24,POP25,/tracks/POP/Dave_Matthews/Dave Matthews Band - Crash Into Me (Official Video).mp3,1
25,POP26,/tracks/POP/Dave_Matthews/Dave Matthews Band - You & Me (Official Video).mp3,1
