,id,shortedPath,subgenres
0,ROCK1,/tracks/ROCK/Metallica/Metallica_ Nothing Else Matters (Official Music Video).mp3,2
1,ROCK2,/tracks/ROCK/Metallica/Metallica_ Enter Sandman (Official Music Video).mp3,1
2,ROCK3,/tracks/ROCK/Metallica/Metallica_ The Unforgiven (Official Music Video).mp3,1
3,ROCK4,/tracks/ROCK/Jamie_xx/Jamie xx - Gosh.mp3,4
4,ROCK5,/tracks/ROCK/Jamie_xx/Jamie xx - KILL DEM (Official Audio).mp3,3
5,ROCK6,/tracks/ROCK/Jamie_xx/Jamie xx - It's So Good.mp3,2
6,ROCK7,/tracks/ROCK/AC_DC/AC-DC - Back In Black (Official Video).mp3,1
7,ROCK8,/tracks/ROCK/AC_DC/ACDC - Thunderstruck.mp3,3
8,ROCK9,/tracks/ROCK/AC_DC/AC-DC - Highway to Hell (Official Video).mp3,1
9,ROCK10,/tracks/ROCK/Imagine_Dragons/Imagine Dragons - Believer (Official Music Video).mp3,3
10,ROCK11,/tracks/ROCK/Imagine_Dragons/Imagine Dragons - Demons (Official Music Video).mp3,4
11,ROCK12,/tracks/ROCK/Imagine_Dragons/Imagine Dragons - Thunder.mp3,3
12,ROCK13,/tracks/ROCK/Jenny_Lewis/Jenny Lewis - Red Bull & Hennessy (Official Audio).mp3,1
13,ROCK14,/tracks/ROCK/Jenny_Lewis/Jenny Lewis - Just One Of The Guys [Official Music Video].mp3,0
14,ROCK15,/tracks/ROCK/Jenny_Lewis/Jenny Lewis - She's Not Me [Official Music Video].mp3,0
15,ROCK16,/tracks/ROCK/Vampire_Weekend/Vampire Weekend - Diane Young.mp3,2
16,ROCK17,/tracks/ROCK/Vampire_Weekend/Vampire Weekend - Step (Official Lyrics Video).mp3,3
17,ROCK18,/tracks/ROCK/Vampire_Weekend/Vampire Weekend - Ya Hey (Official Lyrics Video).mp3,3
18,ROCK19,/tracks/ROCK/Johnny_Marr/Johnny Marr - Hi Hello - Official Music Video [HD].mp3,1
19,ROCK20,/tracks/ROCK/Johnny_Marr/How Soon Is Now - Johnny Marr Live At The Crazy Face Factory.mp3,0
20,ROCK21,/tracks/ROCK/Johnny_Marr/Johnny Marr - Easy Money [Official Music Video].mp3,1
21,ROCK22,/tracks/ROCK/David_Bowie/David Bowie - Lazarus (Video).mp3,1
22,ROCK23,/tracks/ROCK/David_Bowie/David Bowie - Let's Dance (Official Video).mp3,0
23,ROCK24,/tracks/ROCK/David_Bowie/David Bowie – Space Oddity (Official Video).mp3,0
24,ROCK25,/tracks/ROCK/Foo_Fighters/Foo Fighters - The Pretender.mp3,2
25,ROCK26,/tracks/ROCK/Foo_Fighters/Foo Fighters - Everlong (Official HD Video).mp3,1
26,ROCK27,/tracks/ROCK/Foo_Fighters/Foo Fighters - Best Of You (Official Music Video).mp3,1
27,ROCK28,/tracks/ROCK/Kurt_Vile/Kurt Vile - One Trick Ponies.mp3,1
28,ROCK29,/tracks/ROCK/Kurt_Vile/Kurt Vile - Never Run Away.mp3,1
29,ROCK30,/tracks/ROCK/Kurt_Vile/Kurt Vile - Loading Zones.mp3,1
