ID,shortedPath,subgenres,Genre,TimesPlayed_Global
1,/tracks/ROCK/Metallica/Metallica_ Nothing Else Matters (Official Music Video).mp3,2,ROCK,10
2,/tracks/ROCK/Metallica/Metallica_ Enter Sandman (Official Music Video).mp3,1,ROCK,5
3,/tracks/ROCK/Metallica/Metallica_ The Unforgiven (Official Music Video).mp3,1,ROCK,2
4,/tracks/ROCK/Jamie_xx/Jamie xx - Gosh.mp3,4,ROCK,2
5,/tracks/ROCK/Jamie_xx/Jamie xx - KILL DEM (Official Audio).mp3,3,ROCK,0
6,/tracks/ROCK/Jamie_xx/Jamie xx - It's So Good.mp3,2,ROCK,0
7,/tracks/ROCK/AC_DC/AC-DC - Back In Black (Official Video).mp3,1,ROCK,0
8,/tracks/ROCK/AC_DC/ACDC - Thunderstruck.mp3,3,ROCK,0
9,/tracks/ROCK/AC_DC/AC-DC - Highway to Hell (Official Video).mp3,1,ROCK,0
10,/tracks/ROCK/Imagine_Dragons/Imagine Dragons - Believer (Official Music Video).mp3,3,ROCK,0
11,/tracks/ROCK/Imagine_Dragons/Imagine Dragons - Demons (Official Music Video).mp3,4,ROCK,0
12,/tracks/ROCK/Imagine_Dragons/Imagine Dragons - Thunder.mp3,3,ROCK,0
13,/tracks/ROCK/Jenny_Lewis/Jenny Lewis - Red Bull & Hennessy (Official Audio).mp3,1,ROCK,0
14,/tracks/ROCK/Jenny_Lewis/Jenny Lewis - Just One Of The Guys [Official Music Video].mp3,0,ROCK,0
15,/tracks/ROCK/Jenny_Lewis/Jenny Lewis - She's Not Me [Official Music Video].mp3,0,ROCK,0
16,/tracks/ROCK/Vampire_Weekend/Vampire Weekend - Diane Young.mp3,2,ROCK,0
17,/tracks/ROCK/Vampire_Weekend/Vampire Weekend - Step (Official Lyrics Video).mp3,3,ROCK,0
18,/tracks/ROCK/Vampire_Weekend/Vampire Weekend - Ya Hey (Official Lyrics Video).mp3,3,ROCK,0
19,/tracks/ROCK/Johnny_Marr/Johnny Marr - Hi Hello - Official Music Video [HD].mp3,1,ROCK,0
20,/tracks/ROCK/Johnny_Marr/How Soon Is Now - Johnny Marr Live At The Crazy Face Factory.mp3,0,ROCK,0
21,/tracks/ROCK/Johnny_Marr/Johnny Marr - Easy Money [Official Music Video].mp3,1,ROCK,0
22,/tracks/ROCK/David_Bowie/David Bowie - Lazarus (Video).mp3,1,ROCK,0
23,/tracks/ROCK/David_Bowie/David Bowie - Let's Dance (Official Video).mp3,0,ROCK,0
24,/tracks/ROCK/David_Bowie/David Bowie – Space Oddity (Official Video).mp3,0,ROCK,0
25,/tracks/ROCK/Foo_Fighters/Foo Fighters - The Pretender.mp3,2,ROCK,0
26,/tracks/ROCK/Foo_Fighters/Foo Fighters - Everlong (Official HD Video).mp3,1,ROCK,0
27,/tracks/ROCK/Foo_Fighters/Foo Fighters - Best Of You (Official Music Video).mp3,1,ROCK,0
28,/tracks/ROCK/Kurt_Vile/Kurt Vile - One Trick Ponies.mp3,1,ROCK,0
29,/tracks/ROCK/Kurt_Vile/Kurt Vile - Never Run Away.mp3,1,ROCK,0
30,/tracks/ROCK/Kurt_Vile/Kurt Vile - Loading Zones.mp3,1,ROCK,0
31,/tracks/ROCK/Jack_White/Jack White - I'm Shakin' (Official Video).mp3,0,ROCK,0
32,/tracks/ROCK/Jack_White/Jack White - Sixteen Saltines (Official Video).mp3,2,ROCK,0
33,/tracks/ROCK/Jack_White/Jack White - Freedom At 21 (Official Video).mp3,0,ROCK,0
34,/tracks/ROCK/King_Gizzard/King Gizzard & The Lizard Wizard - Rattlesnake (Official Video).mp3,3,ROCK,0
35,/tracks/ROCK/King_Gizzard/King Gizzard & The Lizard Wizard - Gila Monster.mp3,1,ROCK,0
36,/tracks/ROCK/King_Gizzard/King Gizzard & The Lizard Wizard - O.N.E. (Official Video).mp3,2,ROCK,0
37,/tracks/ROCK/Jeff_Buckley/Jeff Buckley - Grace (Official Video).mp3,0,ROCK,0
38,/tracks/ROCK/Jeff_Buckley/Jeff Buckley - Last Goodbye (Edit).mp3,1,ROCK,0
39,/tracks/ROCK/Jeff_Buckley/Jeff Buckley - Hallelujah (Official Video).mp3,4,ROCK,0
40,/tracks/ROCK/Gorillaz/On Melancholy Hill.mp3,1,ROCK,0
41,/tracks/ROCK/Gorillaz/DARE.mp3,1,ROCK,0
42,/tracks/ROCK/Gorillaz/Feel Good Inc..mp3,1,ROCK,0
43,/tracks/ROCK/Fiona_Apple/Fiona Apple - Fast As You Can (Official HD Video).mp3,3,ROCK,0
44,/tracks/ROCK/Fiona_Apple/Fiona Apple - Criminal (Official HD Video).mp3,1,ROCK,0
45,/tracks/ROCK/Fiona_Apple/Fiona Apple - Across the Universe (Official HD Video).mp3,0,ROCK,0
46,/tracks/ROCK/The_Rolling_Stones/The Rolling Stones - Sympathy For The Devil (Official Lyric Video).mp3,0,ROCK,0
47,/tracks/ROCK/The_Rolling_Stones/The Rolling Stones - (I Can't Get No) Satisfaction (Official Lyric Video).mp3,0,ROCK,0
48,"/tracks/ROCK/The_Rolling_Stones/The Rolling Stones - Paint It, Black (Official Lyric Video).mp3",0,ROCK,0
49,/tracks/ROCK/Elton_John/Elton John - Sacrifice.mp3,3,ROCK,0
50,/tracks/ROCK/Elton_John/Elton John - I'm Still Standing.mp3,1,ROCK,0
51,"/tracks/ROCK/Elton_John/Elton John, Dua Lipa - Cold Heart (PNAU Remix) (Official Video).mp3",4,ROCK,0
52,/tracks/ROCK/Arctic_Monkeys/Arctic Monkeys - Do I Wanna Know_ (Official Video).mp3,3,ROCK,0
53,/tracks/ROCK/Arctic_Monkeys/Why'd You Only Call Me When You're High_.mp3,1,ROCK,0
54,/tracks/ROCK/Arctic_Monkeys/I Wanna Be Yours.mp3,3,ROCK,2
55,/tracks/ROCK/Dave_Grohl/Dave Grohl - Play (Official Video).mp3,3,ROCK,0
56,"/tracks/ROCK/Dave_Grohl/Dave Grohl- Smells Like Teen Spirit, Dave drumming live, Nirvana recording @the Ford LA Oct 13, 2021.mp3",1,ROCK,0
57,/tracks/ROCK/Dave_Grohl/Foo Fighters' Dave Grohl vs Animal - The Muppets.mp3,0,ROCK,0
58,/tracks/ROCK/Alt-J/alt-J (∆) Breezeblocks.mp3,3,ROCK,0
59,/tracks/ROCK/Alt-J/Alt-J (∆) - Matilda.mp3,4,ROCK,0
60,/tracks/ROCK/Alt-J/alt-J (∆) - Fitzpleasure (Official Music Video).mp3,0,ROCK,0
61,/tracks/ROCK/The_Strokes/The Strokes - Last Nite (Official HD Video).mp3,1,ROCK,0
62,/tracks/ROCK/The_Strokes/The Strokes - Someday (Official HD Video).mp3,1,ROCK,0
63,/tracks/ROCK/The_Strokes/The Strokes - Reptilia (Official HD Video).mp3,1,ROCK,0
