,ID,shortedPath,subgenres,Genre,TimesPlayed_Global,liked,artist,song,song_name,cover_link
0,1,/tracks/ROCK/Metallica/Metallica_ Nothing Else Matters (Official Music Video).mp3,2,ROCK,0,0,Metallica,Metallica_ Nothing Else Matters (Official Music Video).mp3,Nothing Else Matters,https://lastfm.freetls.fastly.net/i/u/300x300/5d89209639912b1a58c688dc69e53a43.png
1,2,/tracks/ROCK/Metallica/Metallica_ Enter Sandman (Official Music Video).mp3,1,ROCK,0,0,Metallica,Metallica_ Enter Sandman (Official Music Video).mp3,Enter Sandman,https://lastfm.freetls.fastly.net/i/u/300x300/5d89209639912b1a58c688dc69e53a43.png
2,3,/tracks/ROCK/Metallica/Metallica_ The Unforgiven (Official Music Video).mp3,1,ROCK,0,0,Metallica,Metallica_ The Unforgiven (Official Music Video).mp3,The Unforgiven,https://lastfm.freetls.fastly.net/i/u/300x300/5d89209639912b1a58c688dc69e53a43.png
3,4,/tracks/ROCK/Jamie_xx/Jamie xx - Gosh.mp3,4,ROCK,0,0,Jamie xx,Jamie xx - Gosh.mp3,Gosh,https://lastfm.freetls.fastly.net/i/u/300x300/83e49ea6cea3d9418ab3368af6052097.png
4,5,/tracks/ROCK/Jamie_xx/Jamie xx - KILL DEM (Official Audio).mp3,3,ROCK,0,0,Jamie xx,Jamie xx - KILL DEM (Official Audio).mp3,KILL DEM,https://lastfm.freetls.fastly.net/i/u/300x300/651c01063676fd9e7d6f8d4c38da2186.png
5,6,/tracks/ROCK/Jamie_xx/Jamie xx - It's So Good.mp3,2,ROCK,0,0,Jamie xx,Jamie xx - It's So Good.mp3,It's So Good,https://lastfm.freetls.fastly.net/i/u/300x300/dbb2c55265cf753a9ffc2764612a0948.png
6,7,/tracks/ROCK/AC_DC/AC-DC - Back In Black (Official Video).mp3,1,ROCK,0,0,AC DC,AC-DC - Back In Black (Official Video).mp3,Back In Black,https://lastfm.freetls.fastly.net/i/u/300x300/3d359b955132742bc2fc3eacdff90b8c.png
7,8,/tracks/ROCK/AC_DC/ACDC - Thunderstruck.mp3,3,ROCK,0,0,AC DC,ACDC - Thunderstruck.mp3,Thunderstruck,https://lastfm.freetls.fastly.net/i/u/300x300/98390dad3bf6d7a28294106da6941e19.png
8,9,/tracks/ROCK/AC_DC/AC-DC - Highway to Hell (Official Video).mp3,1,ROCK,0,0,AC DC,AC-DC - Highway to Hell (Official Video).mp3,Highway to Hell,https://lastfm.freetls.fastly.net/i/u/300x300/e911ea894f0443a7a19fc8ccdefde2f3.png
9,10,/tracks/ROCK/Imagine_Dragons/Imagine Dragons - Believer (Official Music Video).mp3,3,ROCK,0,0,Imagine Dragons,Imagine Dragons - Believer (Official Music Video).mp3,Believer,https://lastfm.freetls.fastly.net/i/u/300x300/8c77e9f509c4dd3bca8d3ac6b5344ce5.png
